kem,sig
BIKE-L1,Falcon-1024
BIKE-L1,Falcon-512
BIKE-L1,Falcon-padded-1024
BIKE-L1,Falcon-padded-512
BIKE-L1,ML-DSA-44
BIKE-L1,ML-DSA-65
BIKE-L1,ML-DSA-87
BIKE-L3,Falcon-1024
BIKE-L3,Falcon-512
BIKE-L3,Falcon-padded-1024
BIKE-L3,Falcon-padded-512
BIKE-L3,ML-DSA-44
BIKE-L3,ML-DSA-65
BIKE-L3,ML-DSA-87
BIKE-L5,Falcon-1024
BIKE-L5,Falcon-512
BIKE-L5,Falcon-padded-1024
BIKE-L5,Falcon-padded-512
BIKE-L5,ML-DSA-44
BIKE-L5,ML-DSA-65
BIKE-L5,ML-DSA-87
FrodoKEM-1344-AES,Falcon-1024
FrodoKEM-1344-AES,Falcon-512
FrodoKEM-1344-AES,Falcon-padded-1024
FrodoKEM-1344-AES,Falcon-padded-512
FrodoKEM-1344-AES,ML-DSA-44
FrodoKEM-1344-AES,ML-DSA-65
FrodoKEM-1344-AES,ML-DSA-87
FrodoKEM-1344-SHAKE,Falcon-1024
FrodoKEM-1344-SHAKE,Falcon-512
FrodoKEM-1344-SHAKE,Falcon-padded-1024
FrodoKEM-1344-SHAKE,Falcon-padded-512
FrodoKEM-1344-SHAKE,ML-DSA-44
FrodoKEM-1344-SHAKE,ML-DSA-65
FrodoKEM-1344-SHAKE,ML-DSA-87
FrodoKEM-640-AES,Falcon-1024
FrodoKEM-640-AES,Falcon-512
FrodoKEM-640-AES,Falcon-padded-1024
FrodoKEM-640-AES,Falcon-padded-512
FrodoKEM-640-AES,ML-DSA-44
FrodoKEM-640-AES,ML-DSA-65
FrodoKEM-640-AES,ML-DSA-87
FrodoKEM-640-SHAKE,Falcon-1024
FrodoKEM-640-SHAKE,Falcon-512
FrodoKEM-640-SHAKE,Falcon-padded-1024
FrodoKEM-640-SHAKE,Falcon-padded-512
FrodoKEM-640-SHAKE,ML-DSA-44
FrodoKEM-640-SHAKE,ML-DSA-65
FrodoKEM-640-SHAKE,ML-DSA-87
FrodoKEM-976-AES,Falcon-1024
FrodoKEM-976-AES,Falcon-512
FrodoKEM-976-AES,Falcon-padded-1024
FrodoKEM-976-AES,Falcon-padded-512
FrodoKEM-976-AES,ML-DSA-44
FrodoKEM-976-AES,ML-DSA-65
FrodoKEM-976-AES,ML-DSA-87
FrodoKEM-976-SHAKE,Falcon-1024
FrodoKEM-976-SHAKE,Falcon-512
FrodoKEM-976-SHAKE,Falcon-padded-1024
FrodoKEM-976-SHAKE,Falcon-padded-512
FrodoKEM-976-SHAKE,ML-DSA-44
FrodoKEM-976-SHAKE,ML-DSA-65
FrodoKEM-976-SHAKE,ML-DSA-87
ML-KEM-1024,Falcon-1024
ML-KEM-1024,Falcon-512
ML-KEM-1024,Falcon-padded-1024
ML-KEM-1024,Falcon-padded-512
ML-KEM-1024,ML-DSA-44
ML-KEM-1024,ML-DSA-65
ML-KEM-1024,ML-DSA-87
ML-KEM-512,Falcon-1024
ML-KEM-512,Falcon-512
ML-KEM-512,Falcon-padded-1024
ML-KEM-512,Falcon-padded-512
ML-KEM-512,ML-DSA-44
ML-KEM-512,ML-DSA-65
ML-KEM-512,ML-DSA-87
ML-KEM-768,Falcon-1024
ML-KEM-768,Falcon-512
ML-KEM-768,Falcon-padded-1024
ML-KEM-768,Falcon-padded-512
ML-KEM-768,ML-DSA-44
ML-KEM-768,ML-DSA-65
ML-KEM-768,ML-DSA-87
